state_id,run_id,agent_index,stratum_type,stratum,discovered_item_count
online_audit_controller/T5_requests_tls/seed04/independent_context,T5_online_seed04_independent_context_G3_agent01,1,source_family,README.md,0
online_audit_controller/T5_requests_tls/seed04/independent_context,T5_online_seed04_independent_context_G3_agent01,1,source_family,docs/community,0
online_audit_controller/T5_requests_tls/seed04/independent_context,T5_online_seed04_independent_context_G3_agent01,1,source_family,docs/user,0
online_audit_controller/T5_requests_tls/seed04/independent_context,T5_online_seed04_independent_context_G3_agent01,1,source_family,src/requests,145
online_audit_controller/T5_requests_tls/seed04/independent_context,T5_online_seed04_independent_context_G3_agent01,1,source_family,tests/certs,5
online_audit_controller/T5_requests_tls/seed04/independent_context,T5_online_seed04_independent_context_G3_agent01,1,source_family,tests/conftest.py,10
online_audit_controller/T5_requests_tls/seed04/independent_context,T5_online_seed04_independent_context_G3_agent01,1,source_family,tests/test_requests.py,39
online_audit_controller/T5_requests_tls/seed04/independent_context,T5_online_seed04_independent_context_G3_agent01,1,source_family,tests/testserver,17
online_audit_controller/T5_requests_tls/seed04/independent_context,T5_online_seed04_independent_context_G3_agent02,2,source_family,README.md,1
online_audit_controller/T5_requests_tls/seed04/independent_context,T5_online_seed04_independent_context_G3_agent02,2,source_family,docs/community,12
online_audit_controller/T5_requests_tls/seed04/independent_context,T5_online_seed04_independent_context_G3_agent02,2,source_family,docs/user,52
online_audit_controller/T5_requests_tls/seed04/independent_context,T5_online_seed04_independent_context_G3_agent02,2,source_family,src/requests,0
online_audit_controller/T5_requests_tls/seed04/independent_context,T5_online_seed04_independent_context_G3_agent02,2,source_family,tests/certs,6
online_audit_controller/T5_requests_tls/seed04/independent_context,T5_online_seed04_independent_context_G3_agent02,2,source_family,tests/conftest.py,11
online_audit_controller/T5_requests_tls/seed04/independent_context,T5_online_seed04_independent_context_G3_agent02,2,source_family,tests/test_requests.py,33
online_audit_controller/T5_requests_tls/seed04/independent_context,T5_online_seed04_independent_context_G3_agent02,2,source_family,tests/testserver,17
online_audit_controller/T5_requests_tls/seed04/independent_context,T5_online_seed04_independent_context_G3_agent03,3,source_family,README.md,1
online_audit_controller/T5_requests_tls/seed04/independent_context,T5_online_seed04_independent_context_G3_agent03,3,source_family,docs/community,11
online_audit_controller/T5_requests_tls/seed04/independent_context,T5_online_seed04_independent_context_G3_agent03,3,source_family,docs/user,48
online_audit_controller/T5_requests_tls/seed04/independent_context,T5_online_seed04_independent_context_G3_agent03,3,source_family,src/requests,143
online_audit_controller/T5_requests_tls/seed04/independent_context,T5_online_seed04_independent_context_G3_agent03,3,source_family,tests/certs,0
online_audit_controller/T5_requests_tls/seed04/independent_context,T5_online_seed04_independent_context_G3_agent03,3,source_family,tests/conftest.py,0
online_audit_controller/T5_requests_tls/seed04/independent_context,T5_online_seed04_independent_context_G3_agent03,3,source_family,tests/test_requests.py,0
online_audit_controller/T5_requests_tls/seed04/independent_context,T5_online_seed04_independent_context_G3_agent03,3,source_family,tests/testserver,0
online_audit_controller/T5_requests_tls/seed05/homogeneous,T5_online_seed05_homogeneous_G3_agent01,1,source_family,README.md,1
online_audit_controller/T5_requests_tls/seed05/homogeneous,T5_online_seed05_homogeneous_G3_agent01,1,source_family,docs/community,11
online_audit_controller/T5_requests_tls/seed05/homogeneous,T5_online_seed05_homogeneous_G3_agent01,1,source_family,docs/user,51
online_audit_controller/T5_requests_tls/seed05/homogeneous,T5_online_seed05_homogeneous_G3_agent01,1,source_family,src/requests,164
online_audit_controller/T5_requests_tls/seed05/homogeneous,T5_online_seed05_homogeneous_G3_agent01,1,source_family,tests/certs,5
online_audit_controller/T5_requests_tls/seed05/homogeneous,T5_online_seed05_homogeneous_G3_agent01,1,source_family,tests/conftest.py,9
online_audit_controller/T5_requests_tls/seed05/homogeneous,T5_online_seed05_homogeneous_G3_agent01,1,source_family,tests/test_requests.py,35
online_audit_controller/T5_requests_tls/seed05/homogeneous,T5_online_seed05_homogeneous_G3_agent01,1,source_family,tests/testserver,18
online_audit_controller/T5_requests_tls/seed05/homogeneous,T5_online_seed05_homogeneous_G3_agent02,2,source_family,README.md,1
online_audit_controller/T5_requests_tls/seed05/homogeneous,T5_online_seed05_homogeneous_G3_agent02,2,source_family,docs/community,8
online_audit_controller/T5_requests_tls/seed05/homogeneous,T5_online_seed05_homogeneous_G3_agent02,2,source_family,docs/user,50
online_audit_controller/T5_requests_tls/seed05/homogeneous,T5_online_seed05_homogeneous_G3_agent02,2,source_family,src/requests,148
online_audit_controller/T5_requests_tls/seed05/homogeneous,T5_online_seed05_homogeneous_G3_agent02,2,source_family,tests/certs,5
online_audit_controller/T5_requests_tls/seed05/homogeneous,T5_online_seed05_homogeneous_G3_agent02,2,source_family,tests/conftest.py,9
online_audit_controller/T5_requests_tls/seed05/homogeneous,T5_online_seed05_homogeneous_G3_agent02,2,source_family,tests/test_requests.py,32
online_audit_controller/T5_requests_tls/seed05/homogeneous,T5_online_seed05_homogeneous_G3_agent02,2,source_family,tests/testserver,17
online_audit_controller/T5_requests_tls/seed05/homogeneous,T5_online_seed05_homogeneous_G3_agent03,3,source_family,README.md,0
online_audit_controller/T5_requests_tls/seed05/homogeneous,T5_online_seed05_homogeneous_G3_agent03,3,source_family,docs/community,7
online_audit_controller/T5_requests_tls/seed05/homogeneous,T5_online_seed05_homogeneous_G3_agent03,3,source_family,docs/user,55
online_audit_controller/T5_requests_tls/seed05/homogeneous,T5_online_seed05_homogeneous_G3_agent03,3,source_family,src/requests,147
online_audit_controller/T5_requests_tls/seed05/homogeneous,T5_online_seed05_homogeneous_G3_agent03,3,source_family,tests/certs,5
online_audit_controller/T5_requests_tls/seed05/homogeneous,T5_online_seed05_homogeneous_G3_agent03,3,source_family,tests/conftest.py,9
online_audit_controller/T5_requests_tls/seed05/homogeneous,T5_online_seed05_homogeneous_G3_agent03,3,source_family,tests/test_requests.py,25
online_audit_controller/T5_requests_tls/seed05/homogeneous,T5_online_seed05_homogeneous_G3_agent03,3,source_family,tests/testserver,16
online_audit_controller/T5_requests_tls/seed05/independent_context,T5_online_seed05_independent_context_G3_agent01,1,source_family,README.md,0
online_audit_controller/T5_requests_tls/seed05/independent_context,T5_online_seed05_independent_context_G3_agent01,1,source_family,docs/community,0
online_audit_controller/T5_requests_tls/seed05/independent_context,T5_online_seed05_independent_context_G3_agent01,1,source_family,docs/user,0
online_audit_controller/T5_requests_tls/seed05/independent_context,T5_online_seed05_independent_context_G3_agent01,1,source_family,src/requests,155
online_audit_controller/T5_requests_tls/seed05/independent_context,T5_online_seed05_independent_context_G3_agent01,1,source_family,tests/certs,5
online_audit_controller/T5_requests_tls/seed05/independent_context,T5_online_seed05_independent_context_G3_agent01,1,source_family,tests/conftest.py,9
online_audit_controller/T5_requests_tls/seed05/independent_context,T5_online_seed05_independent_context_G3_agent01,1,source_family,tests/test_requests.py,32
online_audit_controller/T5_requests_tls/seed05/independent_context,T5_online_seed05_independent_context_G3_agent01,1,source_family,tests/testserver,18
online_audit_controller/T5_requests_tls/seed05/independent_context,T5_online_seed05_independent_context_G3_agent02,2,source_family,README.md,1
online_audit_controller/T5_requests_tls/seed05/independent_context,T5_online_seed05_independent_context_G3_agent02,2,source_family,docs/community,13
online_audit_controller/T5_requests_tls/seed05/independent_context,T5_online_seed05_independent_context_G3_agent02,2,source_family,docs/user,52
online_audit_controller/T5_requests_tls/seed05/independent_context,T5_online_seed05_independent_context_G3_agent02,2,source_family,src/requests,0
online_audit_controller/T5_requests_tls/seed05/independent_context,T5_online_seed05_independent_context_G3_agent02,2,source_family,tests/certs,5
