metric,n,spearman_with_false,spearman_p,auroc_abs_direction,auprc_raw_direction
discovery_gini,2700,0.5952362138172552,1.3719787773646701e-258,0.8453397613378908,0.8560133994297172
exposure_gini,2700,0.5950273396517458,2.306930253386606e-258,0.8452184189923488,0.8609709208365857
effective_rank_discovery,2700,-0.4779434239761178,3.765724693580471e-154,0.7772896995862725,0.3916924312451935
exposure_coverage_ratio,2700,-0.5005593326783052,3.211862556995109e-171,0.7706931639933489,0.41575055024806495
discovery_coverage_ratio,2700,-0.5005593326783052,3.211862556995109e-171,0.7706931639933489,0.41575055024806495
scout_novelty_per_cost,1080,0.20541224795749113,9.392153935431838e-12,0.7673863002232143,0.1078489850488298
effective_rank_exposure,2700,-0.4591983536835478,6.057311657160902e-141,0.7664143226077412,0.3948313982696017
discovery_per_exposure,2700,0.2156546371761535,8.886892155877311e-30,0.6250745922980301,0.5915013187880838
discovery_hhi,2700,0.18215036069842486,1.4235938439828104e-21,0.6056786555489744,0.6756754813055039
exposure_hhi,2700,0.17637540702394586,2.632510322365592e-20,0.6023281662179585,0.6752150865895191
exposure_max_mass,2700,0.14553769139722567,2.9761714666184033e-14,0.5843204634723526,0.6352208425986903
exposure_entropy,2700,-0.14332176286334333,7.296238459558473e-14,0.5831513659879067,0.4778649819083512
discovery_entropy,2700,-0.13502553168178869,1.8523698343532895e-12,0.578338119614741,0.4808760843351916
discovery_max_mass,2700,0.09441689101116983,8.889313122611648e-07,0.5547766497433803,0.5930109247405829
no_new_rounds,2700,0.02693555118853168,0.16174760782531222,0.5103775409170268,0.5528373735292933
stopped_round,2700,0.014473475965147522,0.4521984121879661,0.5004845382702122,0.5494992818678985
