metric,n_strata,spearman_with_false,auroc_abs_direction
source_coverage_ratio,18,-0.40113536005221,0.6528189910979229
source_coverage_ratio,30,-0.6614042035140879,0.8700017418461736
source_coverage_ratio,42,-0.4414903843100183,0.8529657477025898
coverage_gini,18,0.8545463563077211,0.9971680337579402
coverage_gini,30,0.7787647357466301,0.9715895721475741
coverage_gini,42,0.5525935750742296,0.9563421024215869
coverage_hhi,18,0.8586236141535186,0.9995402285881916
coverage_hhi,30,0.7783130634543336,0.9713160717396154
coverage_hhi,42,0.5522770023619105,0.9560806778851892
coverage_entropy,18,-0.8589969070152685,0.9997574212183096
coverage_entropy,30,-0.7807983630426191,0.9728210879510083
coverage_entropy,42,-0.5552155235471038,0.9585073795600111
source_normalized_effective_rank,18,-0.47372921152621633,0.7756118062528912
source_normalized_effective_rank,30,-0.3116194170671692,0.6887045859448293
source_normalized_effective_rank,42,-0.3559315615141331,0.7939349507555737
source_logdet_volume,18,-0.500171670611314,0.7909958141056741
source_logdet_volume,30,-0.3674067688833609,0.7224872341010699
source_logdet_volume,42,-0.4020742151998527,0.832040418506584
pairwise_route_jaccard,18,-0.5003896293617883,0.7895897033769222
pairwise_route_jaccard,30,-0.39685992272799586,0.7403075428051058
pairwise_route_jaccard,42,0.06413866467253816,0.5529668843310089
