metric,n_strata,spearman_with_false,auroc_abs_direction
exposure_gini,18,0.698632794973015,0.9034163883894168
exposure_gini,30,0.6694635912226135,0.8872112444305673
exposure_gini,42,0.6857291163229544,0.9092552136102668
discovery_gini,18,0.7162933307289235,0.9136171431958742
discovery_gini,30,0.6725036571975714,0.888970664763519
discovery_gini,42,0.6805068516338044,0.9061391843971631
exposure_coverage_ratio,18,-0.3207012937823743,0.624133059337272
exposure_coverage_ratio,30,-0.5449839259551948,0.7990989785449842
exposure_coverage_ratio,42,-0.6099899186911291,0.8589686761229315
discovery_coverage_ratio,18,-0.3207012937823743,0.624133059337272
discovery_coverage_ratio,30,-0.5449839259551948,0.7990989785449842
discovery_coverage_ratio,42,-0.6099899186911291,0.8589686761229315
effective_rank_exposure,18,-0.5408876730063331,0.8123308107253651
effective_rank_exposure,30,-0.4748346766103803,0.7746405578601484
effective_rank_exposure,42,-0.5071550591778109,0.8026796268152652
effective_rank_discovery,18,-0.5916940040039228,0.8416684779387066
effective_rank_discovery,30,-0.5274384189469732,0.8050661393361781
effective_rank_discovery,42,-0.5740518875349878,0.8426049054373522
