metric,n,spearman_with_false,spearman_p,auroc_abs_direction,auprc_raw_direction
coverage_gini,3600,0.7096487260163074,0.0,0.9429425383385567,0.9734905785360561
scout_novelty_per_cost,720,-0.5345276135410159,1.9191086164908426e-54,0.8579455005150295,0.16554627694706964
source_coverage_ratio,3600,-0.5429861518133166,2.917495067356999e-275,0.8046622036950462,0.5523461457181709
source_logdet_volume,3600,-0.4152943051919395,3.9674506852405835e-150,0.7592148892698214,0.5333535082333801
pairwise_route_jaccard,3600,-0.3630269044281938,1.414018475873392e-112,0.7265457710710554,0.5428415892788415
pairwise_cosine,3600,0.248052727480411,1.2932243375743293e-51,0.6548274548508303,0.756600018130192
source_normalized_effective_rank,3600,-0.24448165684010595,3.8092976873371476e-50,0.6525984941619194,0.5723906487854129
visit_entropy,3600,0.13230472850015507,1.5792132628315153e-15,0.5825808471709983,0.7194400416020797
visit_hhi,3600,-0.10728557729422049,1.0927242361338949e-10,0.5669645949128184,0.6476133890238887
coverage_hhi,3600,0.032195984715734816,0.053410260622905964,0.5200958175332884,0.7633949538883213
stopped_round,3600,0.035840223384261995,0.031526952704417355,0.5070393168608845,0.6930424802700559
coverage_entropy,3600,-0.0025018878138663644,0.8807161949807253,0.5015616071892368,0.6797904822368166
